"","Vin"
"1","3D73Y4CLXAG137663"
"2","1GT121E88CF197942"
"3","1J4GW48S9YC289569"
"4","KL8CD6S94EC554238"
"5","1FMJU1G5XBEF46838"
"6","4T1BE46KX7U050445"
"7","5TBDV54197S467162"
"8","1GKKVPKD4EJ204647"
"9","1FTWW31R88EA09292"
"10","3KPFK4A73JE231829"
"11","2FMDK3KC1BBB00027"
"12","WBAFU7C50BC780854"
"13","1FMCU9GX1DUB71309"
"14","1GC1KWE88FF551203"
"15","WDCTG4GB1HJ289543"
"16","1FTWX32FXXEC38542"
"17","JTHCK262562008344"
"18","1GC1KWE89FF122913"
"19","1GCGC13U36F240210"
"20","JH4DC53076S020551"
"21","1GTJK332X5F922809"
"22","19XFB2F95CE007608"
"23","1GC4K0C80FF124367"
"24","1FT7W2BT6GED13650"
"25","1FAFP33P33W332828"
"26","WAUPL68E04A133296"
"27","3GCUKSEC7FG290364"
"28","KNAFX4A64F5417274"
"29","WAUFFAFL5CA094078"
"30","1G1PE5SB9E7428152"
"31","JH4CU2F61EC004264"
"32","3GNFK16398G203897"
"33","1C4PJMBS6EW222726"
"34","WBA3B9G55FNR93081"
"35","WA1LAAF78HD040006"
"36","WAUJ8GFF4H1010096"
"37","2FMPK4K96JBB21056"
"38","1HGCM567X6A033272"
"39","3C63RRJL9GG241925"
"40","2FMPK4J93KBB22510"
"41","WBAPL33559A515627"
"42","WBS8M9C35H5G85284"
"43","3VW2A7AU5FM030808"
"44","1FM5K8AR8DGA42341"
"45","1GT12ZC86EF163938"
"46","1FTEW1CB9KKC15746"
"47","1FTSW30F51ED76176"
"48","5FNRL18034B020162"
"49","2TBURHE9HC882885"
"50","JF1SG63698H706054"
"51","1FT8W3BT3EEB77078"
"52","1FTFW1CT8BFA74089"
"53","4S4BRBCC4E3263299"
"54","JF2SH61619G791023"
"55","1GT12ZE81FF589941"
"56","1GBJK39667E534547"
"57","1C6RR7NM5HS882887"
"58","1FTFW1ETXDKF10898"
"59","3HGGK5H52HM708234"
"60","3C6UR5FL9EG319753"
"61","3GNEC12J97G182934"
"62","1FT7W2BT0KEF78671"
"63","JF2SJAEC1EH402330"
"64","3C7WRTAL3HG670033"
"65","1GCJC33205F917275"
"66","5TELU42N07Z361370"
"67","1HGCM56814A063475"
"68","1FT7W2BT5FEA95540"
"69","1GKFK66838J186244"
"70","1FT8W3BTXFEA72667"
"71","1GTJK33D17F118662"
"72","1FM5K8D81HGA23316"
"73","1FT8W3DT9FEB30362"
"74","1FT7W2BT6FEA88113"
"75","WBA8D9C56HK678302"
"76","5N1AT2MV1HC876787"
"77","1FTNF20F7YEB11115"
"78","1FT8W3BTXHEC17371"
"79","WBACC0328VEK24786"
"80","1D4HS48N13F544001"
"81","1FTFW1CF2CKD49233"
"82","2C3CCAGG7GH234241"
"83","5TFDY5F11DX287207"
"84","3C63DRAL1CG227638"
"85","JF1SG66678H732244"
"86","1GCHK23D86F240264"
"87","KNAFU6A28A5278115"
"88","3N1AB7AP3JY320555"
"89","1FTFW1ET8DFB36364"
"90","5N1AT2MV7GC891017"
"91","5GTDN13E578108084"
"92","WBAWV1C52AP123975"
"93","3C6RR7KT8GG232629"
"94","3GYFNAEY6BS590050"
"95","1FTMF1ET6EFA62953"
"96","JTDKN3DU6A0003947"
"97","1GYFK66847R194715"
"98","3C4PDCGG6ET311109"
"99","3C63R3HL8EG209323"
"100","1GKKVRED5BJ115804"
"101","WDBRF52H46A915036"
"102","4JGBF71E88A324051"
"103","4USCH7324WLE08243"
"104","1FT7W2BTXKEE36330"
"105","JHLRE48367C110108"
"106","WDDGF4HB0DA799424"
"107","WAUKF78PX9A051270"
"108","1N4AL3AP1FC278749"
"109","WDDDJ77X27A088778"
"110","2FMDK3JC6DBA27323"
"111","1FT8W3BT2CEA88745"
"112","JN8AZ1MU2EW419084"
"113","4T1FA38P07U120048"
"114","1FT7W2BT2HEC19931"
"115","JNKAY01F18M654315"
"116","1FTFW1EV5AFC58452"
"117","1FTFW1E47KKC36856"
"118","3GYFNEE32DS540051"
"119","1G1ZB5ST9GF326840"
"120","1FT7W2BT3EEA77651"
"121","1FT8W4DT9EEA19847"
"122","1FT8X3DT3BEC86694"
"123","1FT7W2BT0BEC77737"
"124","1FD0W5HTXJEB23993"
"125","4T1BF1FKXGU258238"
"126","TRUDF38J191009513"
"127","1FTPW14V67FA82011"
"128","1FMEU63E48UB15303"
"129","1FT7W2BT2GEC71820"
"130","1GC1KXE89FF675244"
"131","1FT7X2BT6CEA50762"
"132","5FNRL38655B063001"
"133","1GC1KWE84FF178628"
"134","1FT8W4DT0FEB78242"
"135","3C63RRGL8JG112427"
"136","1FT8W3DT4CEC00264"
"137","1FM5K8D80EGA30494"
"138","1FD0W5HT0JEB23999"
"139","5NPEC4AC2DH699203"
"140","1FDRF3GT5DEB79020"
"141","1GT423C80DF165449"
"142","3C7WRNFL2HG753649"
"143","1GTHK23D46F201705"
"144","1FD8X3HT8CED15503"
"145","JTEBU14R168056577"
"146","3C7WRNEL9HG604091"
"147","3C7WRNFL5HG760529"
"148","1FD0W5HT4HEC69073"
"149","3GYFNDE31CS519121"
"150","1FMZU73K83ZB18861"
"151","1FTPW12517KC96446"
"152","KL4CJCSB3GB701912"
"153","3MYDLBYV2JY312138"
"154","5NPE24AF0GH408277"
"155","1GCVKREC3GZ187618"
"156","3GNEC16Z33G212360"
"157","3N1AB7AP9FY278187"
"158","1C6RR7NT7DS598811"
"159","1GCVKREC4HZ223897"
"160","1FAHP2H89HG110848"
"161","2FMDK3KC8BBB07217"
"162","KNDJN2A29K7021229"
"163","1ZVBP8FH4A5111281"
"164","1J8GR48K89C527399"
"165","2C4GP44R55R405679"
"166","1GYEC63807R312370"
"167","2CTFLGEW3A6299911"
"168","1FAHP2F82HG104652"
"169","***6148380"
"170","2T3BF4DVXAW057985"
"171","3MZBN1L3XJM203639"
"172","1FTFW1CF1BKD41879"
"173","2FMDK4JC9DBC64152"
"174","JTEBT17R450050719"
"175","1FDBF2A69HEE21182"
"176","2HNYD28669H508018"
"177","2FMDK4JC4ABA41822"
"178","JNRAS08W38X207248"
"179","1C6RR7KG2ES323985"
"180","2C4RRGAGXER419472"
"181","WDCGG8HB5AF326769"
"182","NM0LS6BN4AT014578"
"183","WMWSU3C53BTX96649"
"184","1FMFU20538LA83290"
"185","3D7KS29C16G229759"
"186","2D8HN54169R655577"
"187","1GCWGAFG6J1904382"
"188","1C6RR7MT4DS570630"
"189","1FTFX1EVXAFB07118"
"190","1GCWGFFA2C1180783"
"191","NM0LE7E71E1143955"
"192","***0FF304215"
"193","2GCEK19J781215439"
"194","JN8AZ2NE9B9001869"
"195","3C6TRVNG8EE114887"
"196","1GCHK23607F553120"
"197","3C63D3ML4CG140311"
"198","1J4FY19S1WP801480"
"199","1HGCP3F86CA002357"
"200","2G1WB5E32F1139539"
"201","5FNYF6H9XGB005600"
"202","1FAFP10P5XW159294"
"203","1FTYR1YM4KKA42345"
"204","2FMDK4JCXABB70552"
"205","1C6RR7LT7KS525051"
"206","3TMCZ5AN5HM119620"
"207","1C6RR6GT1FS674596"
"208","1GTR2VE39BZ165853"
"209","4YDF29R227L603339"
"210","jthbw1gg5e2052976"
"211","1GTW7FCA6E1909858"
"212","1C6RR7LT2GS292235"
"213","3GYFNHE31DS586925"
"214","1FT8W3BT2BEB24786"
"215","3FA6P0CD4KR140937"
"216","3TMCZ5AN9KM252534"
"217","1rnet16sx46100273"
"218","1C3CCBCG0DN629733"
"219","1LNHM94R49G600153"
"220","5FNRL5H41EB135192"
"221","KMHD84LF5KU747375"
"222","1L1FM81W52Y603396"
"223","3FA6P0LU3KR106763"
"224","KM8SB12B82U310198"
"225","2C3CCACG8CH134987"
"226","2CTFLXE59B6234702"
"227","2C4RDGCG3FR658505"
"228","WDCYR46E93X134823"
"229","2G1WF5E36D1250144"
"230","3GYFNCE36DS557519"
"231","2FMDK4JC1ABA63518"
"232","1D7HA18N58S568238"
"233","1G6DG5EY9B0128638"
"234","1FTRX14W06NA45457"
"235","1FTFW1EFXDFA48569"
"236","3GYFNAEY6AS613051"
"237","2CNDL33F796249146"
"238","3FA6P0H72DR220050"
"239","1GCJK33205F864483"
"240","3GSDL63778S673526"
"241","3D7KU28C04G203968"
"242","KM8SC13D04U834784"
"243","1FTFX1EV8AKE54776"
"244","4S4BP86C364301637"
"245","1GCRKSE70DZ353648"
"246","1GT424C8XDF149023"
"247","0000000000"
"248","1FAFP47VXXF154422"
"249","4S4BP86C464322979"
"250","2C4GP54L65R532555"
"251","3GTU2WEJ0FG184618"
"252","3C6UR5DL3EG211938"
"253","1D3HU18D35J505043"
"254","5TBDV54147S459261"
"255","1GCHK29U56E191974"
"256","1GCJK39194E178462"
"257","1FT8W3BTXBEC85824"
"258","1GCHK29U74E306782"
"259","WV2ZB0253HH076675"
"260","1GKKNSLA6KZ248881"
"261","1GKKNSLA6KZ248881"
"262","1C6SRFHTXKN632033"
"263","WDDNG71X48A206939"
"264","1N4AL3AP0JC114904"
"265","5FNRL5H34GB147525"
"266","4S3BNAA69J3027457"
"267","KMHD35LH6GU342204"
"268","WMZYV5C38H3B75584"
"269","1GNKVHKD5HJ263574"
"270","2C4RDGBG8FR691033"
"271","1FM5K8GT5GGB29024"
"272","5TDYK3EHXBS035190"
"273","2G1125S30J9149222"
"274","2G1145S33H9175740"
"275","1C4BJWCG7EL105478"
"276","1FTFW1ET2EFC96600"
"277","3D7UT2CL0BG593311"
"278","1FTEW1E80GKF27446"
"279","3GCUKREC0HG344972"
"280","3C4PDDGG5KT751954"
"281","WMWMM33539TP92202"
"282","KNDMB233X66021876"
"283","5FNYF28616B024100"
"284","2A8HR541X9R625087"
"285","1D7HU18247J511238"
"286","1GTEK19Z77E195177"
"287","1FTEW1E86GFB57080"
"288","3G1BE6SM0HS509502"
"289","3N1CE2CP5JL364151"
"290","1GKKVPKD6DJ149200"
"291","1FTFW1EV6AFD52386"
"292","5TBET34135S493140"
"293","1C4RJFBG9KC734753"
"294","1FAHP2J88KG119400"
"295","4S3BNAH65J3008166"
"296","3N1CN7AP4JL851339"
"297","1G1PC5SB5D7284247"
"298","1GKKNXLS2HZ232028"
"299","2C3CDXBGXDH526842"
"300","1FTEW1EG1JFC32296"
"301","1FT7W2BT1HEC50961"
"302","1FT8W3BTXKED57573"
"303","1C6RR7UTXGS154635"
"304","1FT8W3BT6JEB77103"
"305","1FTFW1EG3FKD98368"
"306","4S3BH635917301516"
"307","JM1NDAM71J0205867"
"308","1FTFW1EV4AFB63316"
"309","1FTFW1EF2CKD16293"
"310","1C4PJMAB1GW191101"
"311","1GNFK13027R113743"
"312","1J4GW58N0YC386983"
"313","1GKET16P646136311"
"314","2C3CDYCJ4CH117203"
"315","2G1WT57N191180986"
"316","1GTFK19Y47Z583777"
"317","5TFHY5F13GX498463"
"318","1FTER4FH4KLA09057"
"319","1GKKVRED0BJ122501"
"320","3VW4S7AJ0EM390563"
"321","KNAFU4A29D5734521"
"322","1LNBP97F3GY682995"
"323","1B3BD1FG6BN523196"
"324","2G1WB5EK6A1220205"
"325","1GNER23D89S103990"
"326","1fbss3bl4eda33177"
"327","1GCGG25C481198581"
"328","3B7KF237X1G757108"
"329","KM8NU73CX8U058805"
"330","1FTFW1EV6AFC36461"
"331","1FDAW57P76EB57972"
"332","1FTWW31P27EB23026"
"333","KNDJC736X85832206"
"334","1B7GG26X1WS762275"
"335","JACDH58V6N7912118"
"336","1C4RDJDG2FC715023"
"337","3GNFK16367G140451"
"338","1FMSU41FXYEE41796"
"339","1FT8W3B66CEB23992"
"340","5FNRL5H68FB053723"
"341","3GCEK13J88G224697"
"342","kndjt2a2xa7159365"
"343","3GCRKTE37AG221694"
"344","5XXGT4L37KG365893"
"345","1FTEW1E83AFA74861"
"346","1FMJK1G51EEF52988"
"347","1FTFW1EF5EFB04807"
"348","1FTLR4FE2BPA23304"
"349","7FARW2H51JE104117"
"350","1FTFW1E68EFC43300"
"351","KMHTC6AEXGU267162"
"352","1C6RR7UT8FS526066"
"353","1FTFW1E67BFA13968"
"354","WBA3A5C55CFJ88849"
"355","4JGDF7DE2GA674794"
"356","1FTFW1ET4BFC72505"
"357","5XXGV4L23GG087700"
"358","1C6RR7MTXGS306932"
"359","JTDKN3DU0A1257647"
"360","1FDUF4GT0CEA43778"
"361","3GNCJRSB9HL171574"
"362","3C6UR5JL2GG236191"
"363","1C3CCCABXFN619341"
"364","1FTPW14V98KB55929"
"365","1FMJU1G5XBEF29134"
"366","1FTFW1ET4BFD11819"
"367","1GTHK29G72E223716"
"368","3C6RR6LT6GG289453"
"369","5TFDY5F12EX354592"
"370","1FTFW1CFXBFA61404"
"371","1FMJK1JT8FEF05756"
"372","3FA6P0T90HR313969"
"373","1FMCU94128KD42635"
"374","1C4NJRBB1FD312030"
"375","4S3BNAA69J3027457"
"376","KNDPMCAC7K7613367"
"377","1D7HU18D84S671257"
"378","5TDBT48A63S172927"
"379","KMHHN65F93U069945"
"380","KNAGD126645309388"
"381","1FTSW21P05EC32798"
"382","3B7KF23672M315753"
"383","WMWZC5C55FWP46448"
"384","1G1ND52F04M628981"
"385","1C6RR7MT7FS648031"
"386","2G1145S33H9175740"
"387","1N6BA06B86N566074"
"388","1FTSW21P97EB07415"
"389","3GCPKSE77CG153386"
"390","3C4PDDGG2KT765083"
"391","ZFBCFADH0JZ040533"
"392","WBA1G9C55GV726409"
"393","5XYKTCA68FG636768"
"394","2C3CCARG7HH535042"
"395","1GCGTCENXH1287705"
"396","1GC4K0C81DF109521"
"397","JN1BJ1CR3JW294145"
"398","1GNFK16RXXJ419386"
"399","1FMNU43S1YEC69844"
"400","1FTSS34P36DA18540"
"401","1D7KS28C06J122041"
"402","1GNFK16387J158450"
"403","3GNFK12308G101684"
"404","1FTNX21P43ED11205"
"405","1FMNU44P93ED06271"
"406","1FTWW33P76ED04831"
"407","1FTSF21Y29EB08921"
"408","1FMJU1G52AEB61613"
"409","1FMHK8D87BGA39413"
"410","1GT220C81BZ195299"
"411","3D7UT2CL9BG590004"
"412","KNMAT2MV4JP584425"
"413","1gcrkse72dz329108"
"414","1GKKVRED1CJ111797"
